code;country;name
ABT;CAN;ALBERTA DOWNS
AIK;USA;AIKEN
AJX;CAN;AJAX DOWNS
AKS;USA;AK-SAR-BEN
ALB;USA;ALBUQUERQUE
ANF;USA;ANTHONY DOWNS
AP ;USA;ARLINGTON
AQU;USA;AQUEDUCT
ARP;USA;ARAPAHOE PARK
ASD;CAN;ASSINIBOIA DOWNS
ATH;USA;ATLANTA
ATL;USA;ATLANTIC CITY
ATO;USA;ATOKAD DOWNS
AVN;USA;AVON
BCF;USA;BROWN COUNTY FAIR
BEL;USA;BELMONT PARK
BEU;USA;BEULAH PARK
BF ;USA;BROCKTON FAIR
BGD;USA;BLUE GRASS DOWNS
BHP;USA;BETFAIR HOLLYWOOD PARK
BKF;USA;BLACK FOOT
BM ;USA;BAY MEADOWS
BMF;USA;BAY MEADOWS FAIR
BND;USA;BANDERA DOWNS
BOI;USA;LES BOIS PARK
BOW;USA;BOWIE
BRD;USA;BLUE RIBBON DOWNS
BRN;USA;HARNEY COUNTY FAIR
BRO;USA;BROOKHILL FARM
BSR;USA;BARRETTS RACE MEET AT FAIRPLEX
BTP;USA;BELTERRA PARK
CAM;USA;CAMDEN
CAS;USA;CASSIA COUNTY FAIR
CBY;USA;CANTERBURY PARK
CD ;USA;CHURCHILL DOWNS
CHL;USA;CHARLOTTE
CLM;USA;CLEMMONS
CLS;USA;COLUMBUS
CMR;PR ;CAMARERO RACE TRACK
CNL;USA;COLONIAL DOWNS
CPW;USA;CHIPPEWA DOWNS
CRC;USA;CALDER RACE COURSE
CT ;USA;HOLLYWOOD CASINO AT CHARLES TOWN RACES
CWF;USA;CENTRAL WYOMING FAIR
DAY;USA;DAYTON
DED;USA;DELTA DOWNS
DEL;USA;DELAWARE PARK
DEP;CAN;DESERT PARK
DET;USA;DETROIT RACE COURSE
DG ;USA;COCHISE COUNTY FAIR @ DOUGLAS
DIX;USA;DIXIE DOWNS
DMR;USA;DEL MAR
DUE;USA;DUELING GROUNDS
DUN;USA;GREENELEE COUNTY FAIR @ DUNCAN
DXD;USA;DIXIE DOWNS
ED ;USA;ENERGY DOWNS
ELC;PR ;EL COMANDANTE
ELK;USA;ELKO COUNTY FAIR
ELP;USA;ELLIS PARK
ELY;USA;WHITE PINE RACING
EMD;USA;EMERALD DOWNS
EMT;USA;EMMETT
EP ;CAN;EXHIBITION PARK
EUR;USA;EUREKA
EVD;USA;EVANGELINE DOWNS
FAI;USA;FAIR HILL
FAR;USA;NORTH DAKOTA HORSE PARK
FAX;USA;FAIRFAX
FE ;CAN;FORT ERIE
FER;USA;FERNDALE
FG ;USA;FAIR GROUNDS
FH ;USA;FAR HILLS
FL ;USA;FINGER LAKES
FLG;USA;FLAGSTAFF
FMT;USA;FAIR MEADOWS
FNO;USA;FRESNO
FON;USA;FONNER PARK
FP ;USA;FAIRMOUNT PARK
FPL;USA;FAIR PLAY PARK
FPX;USA;FAIRPLEX PARK
FTP;USA;FORT PIERRE
FX ;USA;FOXFIELD
GBF;USA;GREAT BARRINGTON FAIR
GCF;USA;GILA COUNTY FAIR
GF ;USA;GREAT FALLS
GG ;USA;GOLDEN GATE FIELDS
GIL;USA;GILLESPIE COUNTY FAIRGROUND
GLD;USA;GREAT LAKES DOWNS
GLN;USA;GLYNDON
GN ;USA;GRAND NATIONAL
GP ;USA;GULFSTREAM PARK
GPR;CAN;GRANDE PRAIRIE
GPW;USA;GULFSTREAM PARK WEST
GRM;USA;GREAT MEADOW
GRP;USA;GRANTS PASS
GS ;USA;GARDEN STATE PARK
GV ;USA;GENESEE VALLEY
HAP;USA;HARBOR PARK
HAW;USA;HAWTHORNE
HCF;USA;HUMBOLDT COUNTY FAIR
HIA;USA;HIALEAH PARK
HLN;USA;HELENA DOWNS
HOL;USA;HOLLYWOOD PARK
HOO;USA;HOOSIER PARK
HOU;USA;SAM HOUSTON RACE PARK
HP ;USA;HAZEL PARK
HPO;USA;HORSEMEN'S PARK
HST;CAN;HASTINGS RACECOURSE
IND;USA;INDIANA GRAND RACE COURSE
JND;USA;JEFFERSON DOWNS
JRM;USA;JEROME COUNTY FAIR
KAM;CAN;KAMLOOPS
KD ;USA;KENTUCKY DOWNS
KEE;USA;KEENELAND
KIN;CAN;KIN PARK
KLF;USA;KLAMATH COUNTY FAIR
KSP;USA;KALISPELL
LA ;USA;LOS ALAMITOS
LAD;USA;LOUISIANA DOWNS
LAM;USA;LA MESA PARK
LBG;CAN;LETHBRIDGE
LBT;USA;LAUREL BROWN RACETRACK
LEV;USA;LITTLE EVERGLADES
LEX;USA;LEXINGTON
LNN;USA;LINCOLN RACE COURSE
LRC;USA;LOS ALAMITOS RACE COURSE
LRL;USA;LAUREL PARK
LS ;USA;LONE STAR PARK
MAF;USA;MARIAS FAIR
MAL;USA;MALVERN
MAN;USA;MANOR DOWNS
MAR;USA;MARLBORO
MAS;USA;MASON-DIXON
MC ;USA;MILES CITY
MD ;CAN;MARQUIS DOWNS
MDA;CAN;MELVILLE DISTRICT AGRIPAR
MED;USA;MEADOWLANDS
MEP;USA;METRAPARK
MF ;USA;MARSHFIELD FAIR
